reservationId	financeFieldId	type	name	title	value	total	isIncludedInTotalPrice	isOverriddenByUser	isMandatory	isDeleted
55728634	228575127	accommodation	baseRate	Base rate	431.18	431.18	1	0	1	0
55728634	228575128	totals	totalPriceFromChannel	Total price from channel	560.35	560.35	0	0	0	0
53441748	217742823	totals	totalPaid	Total paid	424.48	424.48	0	0	0	0
53441748	217742824	fee	cleaningFee	Cleaning fee	60.0	60.0	1	0	1	0
53441748	217742825	tax	salesTax	Sales tax	24.48	24.48	1	0	1	0
53441748	217742826	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	24.48	24.48	0	0	0	0
53441748	217742827	totals	airbnbPayoutSum	Airbnb payout sum	325.6	325.6	0	0	0	0
53441748	217742828	commissions	cancellationHostFee	Cancellation host fee	74.4	74.4	0	0	0	0
53441748	217742829	accommodation	baseRate	Base rate	340.0	340.0	1	0	1	0
53441748	217742830	commissions	hostChannelFee	Host channel fee	74.4	74.4	0	0	0	0
53441748	217742831	totals	totalPriceFromChannel	Total price from channel	424.48	424.48	0	0	0	0
54562140	223039156	totals	totalPaid	Total paid	130.05	130.05	0	0	0	0
54562140	223039157	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
54562140	223039158	tax	salesTax	Sales tax	6.05	6.05	1	0	1	0
54562140	223039159	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	6.05	6.05	0	0	0	0
54562140	223039160	totals	airbnbPayoutSum	Airbnb payout sum	100.94	100.94	0	0	0	0
54562140	223039161	commissions	cancellationHostFee	Cancellation host fee	23.06	23.06	0	0	0	0
54562140	223039162	accommodation	baseRate	Base rate	84.0	84.0	1	0	1	0
54562140	223039163	commissions	hostChannelFee	Host channel fee	23.06	23.06	0	0	0	0
54562140	223039164	totals	totalPriceFromChannel	Total price from channel	130.05	130.05	0	0	0	0
54562140	235687581	other	reservationExpensesAndExtras	Reservation expenses and extras	35.0	35.0	0	0	0	0
55090308	225560189	totals	totalPaid	Total paid	178.93	178.93	0	0	0	0
55090308	225560190	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55090308	225560191	tax	salesTax	Sales tax	9.33	9.33	1	0	1	0
55090308	225560192	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	9.33	9.33	0	0	0	0
55090308	225560193	totals	airbnbPayoutSum	Airbnb payout sum	138.05	138.05	0	0	0	0
55090308	225560194	commissions	cancellationHostFee	Cancellation host fee	31.55	31.55	0	0	0	0
55090308	225560195	accommodation	baseRate	Base rate	129.6	129.6	1	0	1	0
55090308	225560196	commissions	hostChannelFee	Host channel fee	31.55	31.55	0	0	0	0
55090308	225560197	totals	totalPriceFromChannel	Total price from channel	178.93	178.93	0	0	0	0
55377376	226915584	accommodation	baseRate	Base rate	129.6	129.6	1	0	1	0
55377376	226915585	totals	totalPriceFromChannel	Total price from channel	129.6	129.6	0	0	0	0
53879603	219870529	fee	cleaningFee	Cleaning fee	0.0	0.0	1	0	1	0
53879603	219870530	tax	salesTax	Sales tax	0.0	0.0	1	0	1	0
53879603	219870531	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	0.0	0.0	1	0	0	0
53879603	219870532	totals	airbnbPayoutSum	Airbnb payout sum	0.0	0.0	0	0	0	0
53879603	219870533	commissions	cancellationHostFee	Cancellation host fee	0.0	0.0	0	0	0	0
53879603	219870534	accommodation	pricePerExtraPerson	Price for extra person	10.0	10.0	1	0	1	0
53879603	219870535	accommodation	baseRate	Base rate	82.6	82.6	1	0	1	0
53879603	219870536	commissions	hostChannelFee	Host channel fee	0.0	0.0	0	0	0	0
53879603	219870537	totals	totalPriceFromChannel	Total price from channel	82.6	82.6	0	0	0	0
53879603	219872215	totals	totalPaid	Total paid	82.6	82.6	0	0	0	0
53878852	219867658	fee	cleaningFee	Cleaning fee	0.0	0.0	1	0	1	0
53878852	219867659	tax	salesTax	Sales tax	0.0	0.0	1	0	1	0
53878852	219867660	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	0.0	0.0	1	0	0	0
53878852	219867661	totals	airbnbPayoutSum	Airbnb payout sum	0.0	0.0	0	0	0	0
53878852	219867662	commissions	cancellationHostFee	Cancellation host fee	0.0	0.0	0	0	0	0
53878852	219867663	accommodation	baseRate	Base rate	82.6	82.6	1	0	1	0
53878852	219867664	commissions	hostChannelFee	Host channel fee	0.0	0.0	0	0	0	0
53878852	219867665	totals	totalPriceFromChannel	Total price from channel	82.6	82.6	0	0	0	0
53878852	219868063	totals	totalPaid	Total paid	82.6	82.6	0	0	0	0
55733615	228603826	totals	totalPaid	Total paid	595.19	595.19	0	0	0	0
55733615	228603827	commissions	hostChannelFee	Host channel fee	95.54	95.54	0	0	0	0
55733615	228603828	commissions	otaPaymentProcessingFee	OTA payment processing fee	8.33	8.33	0	0	0	0
55733615	228603829	fee	cleaningFee	Cleaning fee	55.0	55.0	1	0	1	0
55733615	228603831	tax	vat	VAT / GST	46.09	46.09	1	0	1	0
55733615	228603832	tax	cityTax	City / Tourism tax	33.19	33.19	1	0	1	0
55733615	228603833	accommodation	baseRate	Base rate	460.91	460.91	1	0	1	0
55733615	228603835	totals	totalPriceFromChannel	Total price from channel	595.19	595.19	0	0	0	0
54225566	221520969	totals	totalPaid	Total paid	420.57	420.57	0	0	0	0
54225566	221520970	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
54225566	221520971	tax	salesTax	Sales tax	25.57	25.57	1	0	1	0
54225566	221520972	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	25.57	25.57	0	0	0	0
54225566	221520973	totals	airbnbPayoutSum	Airbnb payout sum	321.52	321.52	0	0	0	0
54225566	221520974	commissions	cancellationHostFee	Cancellation host fee	73.48	73.48	0	0	0	0
54225566	221520975	accommodation	baseRate	Base rate	355.0	355.0	1	0	1	0
54225566	221520976	commissions	hostChannelFee	Host channel fee	73.48	73.48	0	0	0	0
54225566	221520977	totals	totalPriceFromChannel	Total price from channel	420.57	420.57	0	0	0	0
55217207	226159621	totals	totalPaid	Total paid	232.24	232.24	0	0	0	0
55217207	226159622	fee	cleaningFee	Cleaning fee	50.0	50.0	1	0	1	0
55217207	226159623	tax	salesTax	Sales tax	12.24	12.24	1	0	1	0
55217207	226159624	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	12.24	12.24	0	0	0	0
55217207	226159625	totals	airbnbPayoutSum	Airbnb payout sum	179.08	179.08	0	0	0	0
55217207	226159626	commissions	cancellationHostFee	Cancellation host fee	40.92	40.92	0	0	0	0
55217207	226159627	accommodation	baseRate	Base rate	170.0	170.0	1	0	1	0
55217207	226159628	commissions	hostChannelFee	Host channel fee	40.92	40.92	0	0	0	0
55217207	226159629	totals	totalPriceFromChannel	Total price from channel	232.24	232.24	0	0	0	0
55217207	235683010	other	reservationExpensesAndExtras	Reservation expenses and extras	25.0	25.0	0	0	0	0
55653256	228238357	totals	totalPaid	Total paid	316.92	316.92	0	0	0	0
55653256	228238359	fee	cleaningFee	Cleaning fee	50.0	50.0	1	0	1	0
55653256	228238360	tax	salesTax	Sales tax	17.92	17.92	1	0	1	0
55653256	228238361	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	17.92	17.92	0	0	0	0
55653256	228238362	totals	airbnbPayoutSum	Airbnb payout sum	243.38	243.38	0	0	0	0
55653256	228238364	commissions	cancellationHostFee	Cancellation host fee	55.62	55.62	0	0	0	0
55653256	228238366	accommodation	pricePerExtraPerson	Price for extra person	60.0	60.0	1	0	1	0
55653256	228238368	accommodation	baseRate	Base rate	189.0	189.0	1	0	1	0
55653256	228238371	commissions	hostChannelFee	Host channel fee	55.62	55.62	0	0	0	0
55653256	228238373	totals	totalPriceFromChannel	Total price from channel	316.92	316.92	0	0	0	0
55566822	227799886	totals	airbnbPayoutSum	Airbnb payout sum	245.01	245.01	0	0	0	0
55566822	227799887	accommodation	baseRate	Base rate	193.52	193.52	1	0	1	0
55566822	227799888	totals	totalPriceFromChannel	Total price from channel	193.52	193.52	0	0	0	0
55631667	228149798	totals	totalPaid	Total paid	200.8	200.8	0	0	0	0
55631667	228149799	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55631667	228149800	tax	salesTax	Sales tax	10.8	10.8	1	0	1	0
55631667	228149801	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	10.8	10.8	0	0	0	0
55631667	228149802	totals	airbnbPayoutSum	Airbnb payout sum	154.65	154.65	0	0	0	0
55631667	228149803	commissions	cancellationHostFee	Cancellation host fee	35.35	35.35	0	0	0	0
55631667	228149804	accommodation	baseRate	Base rate	150.0	150.0	1	0	1	0
55631667	228149805	commissions	hostChannelFee	Host channel fee	35.35	35.35	0	0	0	0
55631667	228149806	totals	totalPriceFromChannel	Total price from channel	200.8	200.8	0	0	0	0
53454016	217802542	totals	totalPaid	Total paid	259.42	259.42	0	0	0	0
53454016	217802543	commissions	guestChannelFee	Guest channel fee	35.75	35.75	1	0	1	0
53454016	217802544	fee	cleaningFee	Cleaning fee	35.0	35.0	1	0	1	0
53454016	217802545	tax	salesTax	Sales tax	12.67	12.67	1	0	1	0
53454016	217802546	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	12.67	12.67	0	0	0	0
53454016	217802547	totals	airbnbPayoutSum	Airbnb payout sum	203.4	203.4	0	0	0	0
53454016	217802548	commissions	cancellationHostFee	Cancellation host fee	7.6	7.6	0	0	0	0
53454016	217802549	accommodation	baseRate	Base rate	176.0	176.0	1	0	1	0
53454016	217802550	commissions	hostChannelFee	Host channel fee	7.6	7.6	0	0	0	0
53454016	217802551	totals	totalPriceFromChannel	Total price from channel	259.42	259.42	0	0	0	0
53454016	228001879	other	reservationExpensesAndExtras	Reservation expenses and extras		0.0	0	0	0	0
55031287	225279900	totals	totalPaid	Total paid	212.37	212.37	0	0	0	0
55031287	225279901	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55031287	225279902	tax	salesTax	Sales tax	11.57	11.57	1	0	1	0
55031287	225279903	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	11.57	11.57	0	0	0	0
55031287	225279904	totals	airbnbPayoutSum	Airbnb payout sum	163.46	163.46	0	0	0	0
55031287	225279905	commissions	cancellationHostFee	Cancellation host fee	37.34	37.34	0	0	0	0
55031287	225279906	accommodation	baseRate	Base rate	160.8	160.8	1	0	1	0
55031287	225279907	commissions	hostChannelFee	Host channel fee	37.34	37.34	0	0	0	0
55031287	225279908	totals	totalPriceFromChannel	Total price from channel	212.37	212.37	0	0	0	0
55031287	235687065	other	reservationExpensesAndExtras	Reservation expenses and extras	35.0	35.0	0	0	0	0
55155624	225873949	totals	totalPaid	Total paid	451.35	451.35	0	0	0	0
55155624	225873950	fee	cleaningFee	Cleaning fee	50.0	50.0	1	0	1	0
55155624	225873951	tax	salesTax	Sales tax	26.95	26.95	1	0	1	0
55155624	225873952	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	26.95	26.95	0	0	0	0
55155624	225873953	totals	airbnbPayoutSum	Airbnb payout sum	345.46	345.46	0	0	0	0
55155624	225873954	commissions	cancellationHostFee	Cancellation host fee	78.94	78.94	0	0	0	0
55155624	225873955	accommodation	pricePerExtraPerson	Price for extra person	60.0	60.0	1	0	1	0
55155624	225873956	accommodation	baseRate	Base rate	314.4	314.4	1	0	1	0
55155624	225873957	commissions	hostChannelFee	Host channel fee	78.94	78.94	0	0	0	0
55155624	225873958	totals	totalPriceFromChannel	Total price from channel	451.35	451.35	0	0	0	0
55553630	227724149	totals	airbnbPayoutSum	Airbnb payout sum	314.2	314.2	0	0	0	0
55553630	227724150	accommodation	baseRate	Base rate	342.2	342.2	1	0	1	0
55553630	227724151	totals	totalPriceFromChannel	Total price from channel	342.2	342.2	0	0	0	0
53199932	216504156	totals	totalPaid	Total paid	378.72	378.72	0	0	0	0
53199932	216504157	commissions	guestChannelFee	Guest channel fee	52.69	52.69	1	0	1	0
53199932	216504158	fee	cleaningFee	Cleaning fee	50.0	50.0	1	0	1	0
53199932	216504159	tax	salesTax	Sales tax	15.03	15.03	1	0	1	0
53199932	216504160	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	15.03	15.03	0	0	0	0
53199932	216504161	totals	airbnbPayoutSum	Airbnb payout sum	299.8	299.8	0	0	0	0
53199932	216504162	commissions	cancellationHostFee	Cancellation host fee	11.2	11.2	0	0	0	0
53199932	216504163	accommodation	pricePerExtraPerson	Price for extra person	30.0	30.0	1	0	1	0
53199932	216504164	accommodation	baseRate	Base rate	231.0	231.0	1	0	1	0
53199932	216504165	commissions	hostChannelFee	Host channel fee	11.2	11.2	0	0	0	0
53199932	216504166	totals	totalPriceFromChannel	Total price from channel	378.72	378.72	0	0	0	0
53199932	226738593	other	reservationExpensesAndExtras	Reservation expenses and extras		0.0	0	0	0	0
55453779	227265805	totals	airbnbPayoutSum	Airbnb payout sum	152.21	152.21	0	0	0	0
55453779	227265806	accommodation	baseRate	Base rate	145.14	145.14	1	0	1	0
55453779	227265807	totals	totalPriceFromChannel	Total price from channel	145.14	145.14	0	0	0	0
55377364	226915505	totals	totalPaid	Total paid	168.88	168.88	0	0	0	0
55377364	226915506	commissions	hostChannelFee	Host channel fee	27.36	27.36	0	0	0	0
55377364	226915507	commissions	otaPaymentProcessingFee	OTA payment processing fee	2.36	2.36	0	0	0	0
55377364	226915508	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55377364	226915509	tax	vat	VAT / GST	11.0	11.0	1	0	1	0
55377364	226915510	tax	cityTax	City / Tourism tax	7.92	7.92	1	0	1	0
55377364	226915511	accommodation	baseRate	Base rate	109.96	109.96	1	0	1	0
55377364	226915512	totals	totalPriceFromChannel	Total price from channel	168.88	168.88	0	0	0	0
55229072	226219524	totals	totalPaid	Total paid	302.06	302.06	0	0	0	0
55229072	226219525	fee	cleaningFee	Cleaning fee	63.0	63.0	1	0	1	0
